e, e_dot, e_int, stamp, 
0.6435474044691164, 0.18561387823665418, 0.12128492576435711, 1732836168562518152, 
0.6435794392659846, 0.1857206608928815, 0.12499933898221473, 1732836168664499721, 
0.6435968588552133, 0.0001648479536564551, 0.12871491350602096, 1732836168751712402, 
0.6435935273890521, 4.696041022489439e-05, 0.12871798836735002, 1732836168862543469, 
0.6436571364061362, 0.00020092516974286786, 0.12872316817669344, 1732836168962587157, 
0.6389483644215251, -0.015483876558423093, 0.1284132685477809, 1732836169057554816, 
0.6248186059343706, -0.06279510157255215, 0.1271616071174688, 1732836169171722843, 
0.6094731417724675, -0.09825074216352554, 0.12488267414189087, 1732836169262552435, 
0.5893633232096357, -0.1181842757491162, 0.1215770047277649, 1732836169361793628, 
0.5710148773813449, -0.12819421463707514, 0.11799008949089652, 1732836169458510314, 
0.5477669794514273, -0.13865447919402807, 0.11387634533616052, 1732836169572930114, 
0.510665243836, -0.20116544515114984, 0.10862980671125147, 1732836169662549821, 
0.48005012547274234, -0.22572284659561645, 0.10256548991734464, 1732836169762513317, 
0.44312745109255497, -0.2251259758114834, 0.09558952136008647, 1732836169858607837, 
0.4065583109514238, -0.24497271507106178, 0.0886490591677814, 1732836169973207827, 
0.3762323977437154, -0.2229835111627985, 0.08172787731917962, 1732836170062553368, 
0.3262900016810085, -0.2675610309013843, 0.07393871402507651, 1732836170162551188, 
0.2941332105399376, -0.27366395734592613, 0.06644370733097743, 1732836170259516603, 
0.2537790835827939, -0.24170306032738212, 0.05828015305358267, 1732836170352075542, 
0.2122078980256844, -0.27308437504751054, 0.050674679476561055, 1732836170462562247, 
0.17157704347898717, -0.27400680034602237, 0.04250426833916436, 1732836170562524282, 
0.13036722785407717, -0.27280223390535746, 0.03427681129058325, 1732836170659522067, 
0.0925041082398802, -0.26357645079702324, 0.026296558638196302, 1732836170752204548, 
0.06269391296897409, -0.22557771628367695, 0.019037683270862096, 1732836170862561849, 
0.036095570287373646, -0.1880284598416885, 0.012752906099748528, 1732836170962569624, 
-0.019939475946144203, -0.27544462971706096, 0.005256667154013569, 1732836171059526055, 
-0.04290469834558852, -0.26333422877654056, -0.0017832402669572718, 1732836171152565549, 
-0.06205839587415829, -0.14039639976004695, -0.008326838011059401, 1732836171262565058, 
-0.07423834232609561, -0.10444547993502362, -0.011946762436389494, 1732836171362558471, 
-0.08004653788062477, -0.059960473354888265, -0.014422885072058578, 1732836171460529880, 
-0.08424334437768943, -0.033350006838646085, -0.015901881638960655, 1732836171569868358, 
-0.08791242756135087, -0.026219632269087006, -0.016813487321311004, 1732836171663588247, 
-0.0876278880665301, -0.011281812296135563, -0.017318910667038025, 1732836171762564212, 
-0.08311680733606919, 0.015985400750938943, -0.017243808197596678, 1732836171860570982, 
-0.0760823001085793, 0.038485293193169325, -0.016455133034078574, 1732836171951797632, 
-0.082675511121444, 0.0014709873820839547, -0.01612497457107283, 1732836172063575939, 
-0.07497904982917625, 0.003677500931343521, -0.015582457403946636, 1732836172162592239, 
-0.06819286605163632, 0.04827548356602559, -0.01505649513348377, 1732836172260571408, 
-0.06125795875323636, 0.04573697025313295, -0.013628658308936595, 1732836172370480407, 
-0.05311377078814583, 0.05026365087830165, -0.012170973039534568, 1732836172463585789, 
-0.044754079960035664, 0.055012929310669, -0.010608387300094524, 1732836172563572050, 
-0.03737818173713292, 0.052451963503376366, -0.009016402165687628, 1732836172660586986, 
-0.03208240775448501, 0.04223890735183552, -0.007614311296776906, 1732836172752575930, 
-0.02730820987999083, 0.0335665728571403, -0.006451253291440584, 1732836172863584612, 
-0.02747180467349586, 0.015368676936630502, -0.00579082815386478, 1732836172962963107, 
-0.020547730508096218, 0.022534931239648708, -0.005021849670772194, 1732836173061587274, 
-0.015973220077918127, 0.03832861531859244, -0.004266183683967347, 1732836173152286580, 
-0.01265188995419586, 0.026319468513001192, -0.003278189369347347, 1732836173263589963, 
-0.010144606746559592, 0.019428711104528446, -0.0025846477852449054, 1732836173363595039, 
-0.009098772356079254, 0.011843725327055354, -0.0021263512704556473, 1732836173460726628, 
-0.0066580589642531995, 0.01162182594102131, -0.001726762537792803, 1732836173571422849, 
-0.0029168444111364877, 0.020606426483142554, -0.0012449117154312629, 1732836173664642269, 
-0.0017508941103571152, 0.016357216179653616, -0.0007550531657164535, 1732836173765571865, 
-0.00024801290815379406, 0.008896105009942312, -0.0003277167619764931, 1732836173861643487, 
-0.000568412747888547, 0.003941604541561894, -0.00017115465109329708, 1732836173954540709, 
-0.0024525840545942534, -0.007348570488134865, -0.0002179339807091063, 1732836174064596347, 
-0.003763800738536105, -0.010651293302158527, -0.00045231983606792704, 1732836174165579401, 
-0.0028860423445492556, -0.0014448609665166738, -0.0006068284758453076, 1732836174261853788, 
-0.0010344358454807967, 0.009097882976851027, -0.0005122852619044105, 1732836174352899644, 
-0.0006006076951460271, 0.007618115498010762, -0.0003014057256784053, 1732836174463582478, 
-0.00031836395243067805, 0.002386906310167062, -0.00013022716620383345, 1732836174561828662, 
0.0005114518292536063, 0.0037068650813321113, -2.7167987888206588e-05, 1732836174662602817, 
0.0005158764691716167, 0.0027808014053409824, 4.7264289732969665e-05, 1732836174772335702, 
-0.002258033334691323, -0.009231617213149764, -8.204700241774e-05, 1732836174863617162, 
-0.005544206553416364, -0.020200276741959938, -0.0004857575612624047, 1732836174963595688, 
-0.006462402457898864, -0.014014563744025136, -0.0009509761564004367, 1732836175063005303, 
-0.004847676094793085, 0.00232176819541093, -0.0011236190070738874, 1732836175173372074, 
-0.0034734759976045027, 0.009963088200981204, -0.0009855703033530968, 1732836175263600208, 
-0.0005717998401565394, 0.014252920848788486, -0.0005928634621702751, 1732836175363592239, 
0.004339564624627812, 0.026043468740774383, 1.9619252457784658e-05, 1732836175463208977, 
0.009859281387137653, 0.034770270757647305, 0.0009084697447739284, 1732836175553418375, 
0.011184294183144372, 0.0228157651950552, 0.0016922093463273224, 1732836175663594328, 
0.008710963522789106, -0.0038277262144951565, 0.0019836359395380755, 1732836175763596697, 
0.005598315318969926, -0.018619929547248153, 0.0016995715349935603, 1732836175863639905, 
