odom_x, odom_y, odom_th, imu_ax, imu_ay, kf_ax, kf_ay, kf_vx, kf_w, kf_x, kf_y, stamp, 
-0.04597415846744364, 0.0335608591252166, -0.1355747547396806, -0.0970816762215703, 0.01239681300335814, -0.07199595669508761, -1.8774694420565357e-08, -0.00786348188444465, 2.3875802979472753e-06, -0.017887353761605204, 0.029729494500359752, 132736000000, 
-0.04597414228257449, 0.033560851149379345, -0.13557465935657237, -0.07776014605125423, -0.00889991238465742, -0.076056635888952, -2.1087856866374112e-07, -0.003919746525789778, 5.3799031972163514e-05, -0.016378741557896887, 0.029523690863784337, 132770000000, 
-0.045974127761441747, 0.03356085441000579, -0.13557461343507102, -0.06464219760526631, -0.023176161965690806, -0.06763341132215242, -2.4523647106967275e-07, -0.002995103637747302, 8.187912697876516e-05, -0.016443037774898275, 0.029532456522496083, 132804000000, 
-0.0459741404955896, 0.033560845165259465, -0.13557453586936793, -0.05733339571988276, -0.0029988476355798177, -0.060039371011885355, -7.841810351260468e-08, -0.0025469269151238245, 3.078930260894126e-05, -0.01649078306056292, 0.02953896919352677, 132838000000, 
-0.04597415969299577, 0.033560843604123175, -0.13557420235452347, -0.036778721775717546, 0.013547030568166704, -0.04286364032043501, 5.528279874932301e-08, -0.0036231888970880855, -1.5258050385877798e-05, -0.016388286229686275, 0.029524991197939776, 132940000000, 
-0.04597412902007981, 0.03356083875272921, -0.1355739820725765, -0.0593678518946443, -0.027454560933551767, -0.05489517589673103, -1.5452692164419296e-07, -0.002211618224450149, 6.98705228306804e-05, -0.01647232810202263, 0.029536450822903213, 133042000000, 
-0.04597416030242995, 0.03356084370097203, -0.13557369392677365, -0.0774133697371239, 0.0067749576406064445, -0.07133292599513819, -2.115290049958693e-08, -0.0021838528295172284, 9.686046703185158e-06, -0.01645830924415446, 0.02953453890454928, 133144000000, 
-0.045974155818903684, 0.033560840998684865, -0.13557342311506834, -0.07248465954299559, -0.006387604435825658, -0.07212275549697589, -3.4567522191455574e-08, -0.002507063252857984, 1.3788053473341583e-05, -0.016422620088857233, 0.029529671530934026, 133246000000, 
-0.04597409796248654, 0.033560832505091794, -0.13557318690611683, -0.050253911876165853, -0.008472080038447249, -0.056061648634737796, -4.8115217443379625e-08, -0.0024722925928589495, 1.9461781175236777e-05, -0.016425086879869214, 0.029530007743641562, 133348000000, 
-0.045974124599051, 0.03356083385406297, -0.135572913578836, -0.0830955694110486, -0.007002277986982876, -0.07580313163000374, -4.338708899942235e-08, -0.0023047761918457595, 1.8824859937778248e-05, -0.016440862017720846, 0.029532158794769142, 133450000000, 
-0.04597414754712166, 0.033560831205266546, -0.13557262128166758, -0.06864381541537797, -0.007980480674026218, -0.07050699649154621, -5.255836860124476e-08, -0.0026050105171127698, 2.0175875780915144e-05, -0.016411019348745625, 0.029528089110914226, 133552000000, 
