x, y, th, stamp, 
-13.826192855834961, -9.353109359741211, -0.5810235666710045, 1727989831589184552, 
-13.826192855834961, -9.353109359741211, -0.5810235666710045, 1727989831679219397, 
-13.826192855834961, -9.353109359741211, -0.5810235666710045, 1727989831728953924, 
-13.826192855834961, -9.353109359741211, -0.5810240142898891, 1727989831779557453, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989831829568008, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989831870391504, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989831939186088, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989831989694154, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832028800397, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832079560964, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832129669216, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832179864114, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832228736717, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832288901027, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832319547871, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832390577345, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832430521616, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832478822473, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832528880663, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832580405938, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832629875930, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832669701042, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832719099032, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832790690981, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832829315729, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832878803953, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832928700577, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989832979716191, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833029597928, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833089487357, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833119400897, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833190442672, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833230543490, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833279694648, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833329565208, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833379613895, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833429714112, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833469861149, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833539772288, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833569092547, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833630614127, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833679608426, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833729613111, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833779602630, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833830009296, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833870301827, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833940341153, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989833990616108, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834030665322, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834079613321, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834129608883, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834179654952, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834230618579, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834289387694, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834339501946, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834389946468, 
-13.826192855834961, -9.353109359741211, -0.5810242137254948, 1727989834431049422, 
-13.826179504394531, -9.353106498718262, -0.5810242137254948, 1727989834478764336, 
-13.824233055114746, -9.354514122009277, -0.5724515749486647, 1727989834529623973, 
-13.820244789123535, -9.356767654418945, -0.5612814566094106, 1727989834579629510, 
-13.814555168151855, -9.360506057739258, -0.5456576639502887, 1727989834630274199, 
-13.805973052978516, -9.365274429321289, -0.5226780937738387, 1727989834688877246, 
-13.797359466552734, -9.370126724243164, -0.49818995433805485, 1727989834738942205, 
-13.78786849975586, -9.375133514404297, -0.4720755832630135, 1727989834789760603, 
-13.780597686767578, -9.378666877746582, -0.4521364981864793, 1727989834830821100, 
-13.771737098693848, -9.38255786895752, -0.4290617487251869, 1727989834878775764, 
-13.76344108581543, -9.38647174835205, -0.40295674945838766, 1727989834929647592, 
-13.754850387573242, -9.390040397644043, -0.3779192104630246, 1727989834979638057, 
-13.746857643127441, -9.393213272094727, -0.35518276012454375, 1727989835024626161, 
-13.735869407653809, -9.397234916687012, -0.3232333290736611, 1727989835084805593, 
-13.726984977722168, -9.399968147277832, -0.29840082737748386, 1727989835134881038, 
-13.717772483825684, -9.40272331237793, -0.27166506646696753, 1727989835185262853, 
-13.708595275878906, -9.405197143554688, -0.24450114161944447, 1727989835236618946, 
-13.7001371383667, -9.407007217407227, -0.22274779922939927, 1727989835279641127, 
-13.690800666809082, -9.40903091430664, -0.19674480782238873, 1727989835329611217, 
-13.681317329406738, -9.410879135131836, -0.17074663894549705, 1727989835380645826, 
-13.67273235321045, -9.41230583190918, -0.14793626106804636, 1727989835426625105, 
-13.661358833312988, -9.413818359375, -0.11864738583739676, 1727989835484843202, 
