x, y, th, stamp, 
-13.900128364562988, -9.111946105957031, -0.8644432786140002, 1727990076479845162, 
-13.900128364562988, -9.111946105957031, -0.8644434168009003, 1727990076521915327, 
-13.900128364562988, -9.111946105957031, -0.8644432176518647, 1727990076571846887, 
-13.900128364562988, -9.111946105957031, -0.864443283419625, 1727990076640480679, 
-13.900128364562988, -9.111946105957031, -0.8644432639369363, 1727990076669863306, 
-13.900128364562988, -9.111946105957031, -0.8644432317411384, 1727990076732559938, 
-13.900128364562988, -9.111946105957031, -0.8644431413084219, 1727990076782497394, 
-13.900128364562988, -9.111946105957031, -0.8644431703950011, 1727990076830547711, 
-13.900128364562988, -9.111946105957031, -0.8644431452425904, 1727990076879743003, 
-13.900128364562988, -9.111946105957031, -0.8644431322472029, 1727990076942504305, 
-13.900128364562988, -9.111946105957031, -0.864443079400297, 1727990076972388411, 
-13.900128364562988, -9.111946105957031, -0.864443067794141, 1727990077022639576, 
-13.900128364562988, -9.111946105957031, -0.8644431215960997, 1727990077081788535, 
-13.900128364562988, -9.111946105957031, -0.8644429270121803, 1727990077131721268, 
-13.900128364562988, -9.111946105957031, -0.8644429240228493, 1727990077182634737, 
-13.900128364562988, -9.111946105957031, -0.8644431682412723, 1727990077230516770, 
-13.900128364562988, -9.111946105957031, -0.8644434748029884, 1727990077280633915, 
-13.900128364562988, -9.111946105957031, -0.8644437743066657, 1727990077341724474, 
-13.900128364562988, -9.111946105957031, -0.8644437093188339, 1727990077372042340, 
-13.900128364562988, -9.111946105957031, -0.8644437172451938, 1727990077440659493, 
-13.900128364562988, -9.111946105957031, -0.8644437642289288, 1727990077483050934, 
-13.900128364562988, -9.111946105957031, -0.8644437749820612, 1727990077532612935, 
-13.900128364562988, -9.111946105957031, -0.8644438883488464, 1727990077582511246, 
-13.900128364562988, -9.111946105957031, -0.8644439064891093, 1727990077630511955, 
-13.900128364562988, -9.111946105957031, -0.8644439191599338, 1727990077679835089, 
-13.900128364562988, -9.111946105957031, -0.8644439273576932, 1727990077723650593, 
-13.900128364562988, -9.111946105957031, -0.8644439398809718, 1727990077772230362, 
-13.900128364562988, -9.111946105957031, -0.8644438827780148, 1727990077840068666, 
-13.900128364562988, -9.111946105957031, -0.8644438875564555, 1727990077882609011, 
-13.900128364562988, -9.111946105957031, -0.8644438943635865, 1727990077933662364, 
-13.900128364562988, -9.111946105957031, -0.86444389858863, 1727990077983522317, 
-13.89989948272705, -9.112244606018066, -0.8643118537220102, 1727990078031593465, 
-13.897573471069336, -9.114799499511719, -0.8620615306708207, 1727990078080984123, 
-13.892765998840332, -9.120133399963379, -0.856218483205884, 1727990078143612674, 
