x, y, theta, stamp, 
0.0, 0.0, -7.25032053689784e-14, 1729805844092140246, 
0.0, 0.0, -7.25032053689784e-14, 1729805844142164494, 
0.0, 0.0, -7.25032053689784e-14, 1729805844194033233, 
0.0010719983838498592, 3.886665217578411e-05, 0.0022602669977352732, 1729805844242092418, 
0.005972632206976414, 0.00023708005028311163, 0.00968010483378955, 1729805844303333356, 
0.009592624381184578, 0.00032599613768979907, 0.014574540927233221, 1729805844332090293, 
0.0201322790235281, 0.001289251958951354, 0.029657804887663182, 1729805844402318713, 
0.030312741175293922, 0.0017040494130924344, 0.04348293089483421, 1729805844453969048, 
0.03935091942548752, 0.0025601505767554045, 0.05586411847425035, 1729805844493022799, 
0.052436914294958115, 0.0037172455340623856, 0.07342997721310458, 1729805844543002450, 
0.06766428798437119, 0.005350964609533548, 0.09461507584799332, 1729805844593011105, 
0.08368150144815445, 0.007310118991881609, 0.11697817365667107, 1729805844642358395, 
0.10222993791103363, 0.010166382417082787, 0.1422446702208593, 1729805844702996671, 
0.1325194239616394, 0.01539329532533884, 0.18080796443567854, 1729805844803303503, 
0.15910841524600983, 0.021060587838292122, 0.21398463425009057, 1729805844894019329, 
0.1888618767261505, 0.02861906588077545, 0.2526521721175068, 1729805844993013305, 
0.22082705795764923, 0.03821161761879921, 0.2948001313073758, 1729805845102777484, 
0.24994665384292603, 0.047969065606594086, 0.33291591590655956, 1729805845202572290, 
0.2751341760158539, 0.05762704834342003, 0.36462165439581845, 1729805845294015603, 
0.302951842546463, 0.06965121626853943, 0.40981853213177943, 1729805845393018758, 
0.3301813006401062, 0.08250010758638382, 0.45518102736690685, 1729805845493613058, 
0.3598466217517853, 0.09843815863132477, 0.5024245699720798, 1729805845603460915, 
0.38357633352279663, 0.11257375031709671, 0.5416480979330125, 1729805845692167237, 
0.4089541733264923, 0.1293000727891922, 0.5826605566514834, 1729805845793022409, 
0.4362850487232208, 0.14863356947898865, 0.6251488092398265, 1729805845902076287, 
0.4604801833629608, 0.167347714304924, 0.6671192957335311, 1729805846002130273, 
0.4815177619457245, 0.18515032529830933, 0.7022517084556134, 1729805846093023618, 
0.5042680501937866, 0.2056073695421219, 0.7404736203984155, 1729805846194032181, 
0.5281513929367065, 0.229007750749588, 0.7779013145490645, 1729805846302177311, 
0.5491055250167847, 0.25117069482803345, 0.8110648560998348, 1729805846402039330, 
0.567669689655304, 0.27197131514549255, 0.839473296824733, 1729805846493020985, 
0.5874627232551575, 0.2952752113342285, 0.8687590483081322, 1729805846593029357, 
0.6084598898887634, 0.3215402364730835, 0.9004928527615186, 1729805846702994396, 
0.6266725659370422, 0.34581589698791504, 0.9268752256694284, 1729805846802305996, 
0.6430262327194214, 0.36833178997039795, 0.9494123247394259, 1729805846894032297, 
0.6600384712219238, 0.39339306950569153, 0.970982570690138, 1729805846993013121, 
0.678878664970398, 0.42176610231399536, 0.991013926623513, 1729805847103325475, 
0.6949272751808167, 0.44739729166030884, 1.0073628045481848, 1729805847203102009, 
0.7091200947761536, 0.47093674540519714, 1.0222790623773155, 1729805847293474040, 
0.7249108552932739, 0.4968958795070648, 1.0340726291251667, 1729805847392065937, 
0.741815984249115, 0.525783896446228, 1.0491373151438086, 1729805847503083250, 
0.7567267417907715, 0.5526019930839539, 1.0620706578958556, 1729805847603371480, 
0.7697199583053589, 0.5766237378120422, 1.0709348025557108, 1729805847694015745, 
0.7842563986778259, 0.6033529043197632, 1.0789047602466406, 1729805847792155612, 
0.8000511527061462, 0.6330674886703491, 1.0847885465124987, 1729805847903049468, 
0.8142642378807068, 0.6605096459388733, 1.0936395067613731, 1729805848002596571, 
0.8267306089401245, 0.6847995519638062, 1.0974754072056556, 1729805848094027319, 
0.8403448462486267, 0.7120608687400818, 1.1015033452007068, 1729805848193047543, 
0.8556110262870789, 0.74195396900177, 1.1064499263010654, 1729805848303376391, 
0.8695031404495239, 0.7694219946861267, 1.1123897668301856, 1729805848403544950, 
0.8813956379890442, 0.793605387210846, 1.116948416014336, 1729805848493037799, 
