e, e_dot, e_int, stamp, 
1.4142077936193513, -1.4655329356738633e-05, 0.1326601070409884, 1731618860256797747, 
1.4142198243172888, -2.52005476190457e-06, 0.14270732134647282, 1731618860307739249, 
1.415241060462087, 0.0034442228091191573, 0.14298033599097767, 1731618860357875621, 
1.4189252309513634, 0.015684688780248646, 0.1362812535748975, 1731618860403974325, 
1.4254751028590067, 0.03411347465639869, 0.15475021464920136, 1731618860466863820, 
1.435126436783542, 0.05400401944059515, 0.163681772188369, 1731618860518717226, 
1.4489077030425257, 0.07810866727839667, 0.14047511195709994, 1731618860564653455, 
1.4489077030425257, 0.04593755419661264, 0.06634633624589792, 1731618860564653455, 
1.4646876302707204, 0.05259975742731552, 0.20801279416279664, 1731618860707699403, 
1.478717991718098, 0.09936762891857409, 0.35147520798477266, 1731618860804715023, 
1.487333110420073, 0.07548493383117583, 0.30576988198416766, 1731618860914732519, 
1.4905525886677766, 0.039448656498929, 0.301477704507136, 1731618861007657258, 
1.4924978179148283, 0.017215691649183906, 0.2862570075180188, 1731618861106834834, 
1.49161241182841, 0.003532743868777851, 0.29427785886115176, 1731618861204953370, 
1.4864399678073743, -0.02019283369151322, 0.3112753976262509, 1731618861315718786, 
1.475953099605924, -0.05219770740828652, 0.3009512813378091, 1731618861407659417, 
1.4618648390600726, -0.08191709582433908, 0.28186525342888097, 1731618861506845926, 
1.4397099928155024, -0.12081035596807214, 0.3060530938898927, 1731618861617403203, 
1.4167218016017746, -0.15047679152765983, 0.2994175969293589, 1731618861714856831, 
1.387659844519867, -0.17350049431878492, 0.2692249759420627, 1731618861807708926, 
1.3648418638008066, -0.17293312600322666, 0.26939806685644524, 1731618861908704486, 
1.3533859004623277, -0.1142464801917975, 0.269728670037485, 1731618862004788361, 
1.3482389228440832, -0.05534313652241144, 0.281991588563329, 1731618862116741298, 
1.3391384478937371, -0.04749150856196834, 0.2746077450867965, 1731618862208666485, 
1.3203733983175512, -0.09288508175510672, 0.25779055405386564, 1731618862309710299, 
1.3081603897047076, -0.10326019396343182, 0.26136919972349165, 1731618862406290571, 
1.2933915857348364, -0.08993937527571605, 0.2694651986840524, 1731618862515832425, 
1.2672028228043746, -0.1365252230011101, 0.25970158381711755, 1731618862607674425, 
1.2402570645971562, -0.1771150704589338, 0.24310461783848827, 1731618862707714128, 
1.2124223065239252, -0.1826017209348311, 0.24776970598622547, 1731618862807495032, 
1.184266179599103, -0.18663628332684423, 0.25460922496353117, 1731618862917733130, 
1.1617881519525692, -0.16878051523785334, 0.23744582654459892, 1731618863007675489, 
1.1367725701303837, -0.1583120315623976, 0.21957046383914886, 1731618863106864376, 
1.1046178031169542, -0.19056782945205, 0.2263817451201236, 1731618863207237525, 
1.076414187911266, -0.20119460739705866, 0.23217252135424837, 1731618863316797647, 
1.0555467765578934, -0.16357008853020272, 0.21624600434493313, 1731618863407676958, 
