x, y, th, stamp, 
-12.918891906738281, -9.05270767211914, 2.649257925730511, 1727989986088320266, 
-12.918891906738281, -9.05270767211914, 2.649257922895787, 1727989986137481529, 
-12.918891906738281, -9.05270767211914, 2.649257909006112, 1727989986187563259, 
-12.918891906738281, -9.05270767211914, 2.6492579202446773, 1727989986237603276, 
-12.918891906738281, -9.05270767211914, 2.6492579118709716, 1727989986278449941, 
-12.918891906738281, -9.05270767211914, 2.649257898411083, 1727989986328586645, 
-12.918891906738281, -9.05270767211914, 2.6492578914240266, 1727989986377575598, 
-12.918891906738281, -9.05270767211914, 2.6492578864196323, 1727989986427592874, 
-12.918891906738281, -9.05270767211914, 2.6492578846092147, 1727989986476759939, 
-12.918891906738281, -9.05270767211914, 2.6492578846092147, 1727989986537187044, 
-12.918891906738281, -9.05270767211914, 2.6492578846092147, 1727989986587438940, 
-12.918891906738281, -9.05270767211914, 2.649257900300878, 1727989986637439552, 
-12.918891906738281, -9.05270767211914, 2.649257900300878, 1727989986678464223, 
-12.918891906738281, -9.05270767211914, 2.649257900300878, 1727989986728441565, 
-12.918891906738281, -9.05270767211914, 2.649257900300878, 1727989986776924482, 
-12.918891906738281, -9.05270767211914, 2.649257900300878, 1727989986837558622, 
-12.918891906738281, -9.05270767211914, 2.649257886505239, 1727989986878098083, 
-12.918891906738281, -9.05270767211914, 2.649257886505239, 1727989986936929464, 
-12.918891906738281, -9.05270767211914, 2.6492580878186356, 1727989986987514245, 
-12.918891906738281, -9.05270767211914, 2.649258105840014, 1727989987038502047, 
-12.918891906738281, -9.05270767211914, 2.649258105840014, 1727989987078454936, 
-12.918891906738281, -9.05270767211914, 2.649258121135548, 1727989987128472351, 
-12.918891906738281, -9.05270767211914, 2.649258121135548, 1727989987177446093, 
-12.918891906738281, -9.05270767211914, 2.649258113972692, 1727989987226899346, 
-12.918891906738281, -9.05270767211914, 2.6492581207167527, 1727989987288008186, 
-12.918891906738281, -9.05270767211914, 2.6492581207167527, 1727989987337131109, 
-12.918891906738281, -9.05270767211914, 2.6492581062580878, 1727989987387302663, 
-12.918891906738281, -9.05270767211914, 2.649258098384868, 1727989987438460171, 
-12.918891906738281, -9.05270767211914, 2.649258098384868, 1727989987478481795, 
-12.918891906738281, -9.05270767211914, 2.6492581389949392, 1727989987528460268, 
-12.918891906738281, -9.05270767211914, 2.6492581203887835, 1727989987577080386, 
