e, e_dot, e_int, stamp, 
0.6479471243439953, -0.0004127616418888221, 0.1296059353344746, 1732837002920036210, 
0.6479494747828952, -0.0004049268455556347, 0.1295978367975635, 1732837003015959113, 
0.6479990873922559, 0.00017321016086868646, 0.1295930457679431, 1732837003112107918, 
0.6480204939787452, 0.0002367306528331762, 0.1295979370769264, 1732837003223730394, 
0.6479729954456575, -8.697315532805543e-05, 0.12959950512111057, 1732837003320017258, 
0.6466979589539892, -0.004408450082519962, 0.12951276322522612, 1732837003415963772, 
0.6395372370441779, -0.028119194671598624, 0.12894721276292162, 1732837003512120382, 
0.6197990354329028, -0.0896630784036212, 0.1270689487620713, 1732837003624140173, 
0.5845219945102323, -0.1833841417798184, 0.12292388446582088, 1732837003720218173, 
0.5560625012359697, -0.21245511398977715, 0.117358902078607, 1732837003815966796, 
0.5388998657060671, -0.15207376268055092, 0.11196562409681793, 1732837003912018146, 
0.5133801136364186, -0.14227462533183707, 0.10722283203856368, 1732837004024419492, 
0.4848112775997268, -0.18029529368780087, 0.10247275046281418, 1732837004120026280, 
0.4664005247249816, -0.1565986297047898, 0.09763946106407513, 1732837004215970923, 
0.4368759236324785, -0.15978451322416098, 0.09253918173047912, 1732837004312039803, 
0.39138910515517955, -0.2500380652326735, 0.08631103690084264, 1732837004424258320, 
0.36132623493680766, -0.2518322956522362, 0.07930608424829771, 1732837004520053364, 
0.3253525384913455, -0.22012188887944686, 0.0718711919055555, 1732837004615977216, 
0.28963646755735617, -0.23896589126483828, 0.06508768273236729, 1732837004712024625, 
0.2503591231758654, -0.24997805105160031, 0.057689875281637805, 1732837004807987672, 
0.21151222423967564, -0.26041414439226845, 0.05010052099819315, 1732837004920073529, 
0.17123660444771227, -0.26374172909384375, 0.042207196790883555, 1732837005015977983, 
0.13312104418088144, -0.26130393352931397, 0.034391324857884625, 1732837005112025840, 
0.0627426200487261, -0.36164661466328724, 0.024473351245154654, 1732837005223831460, 
0.029618221510986587, -0.34500940889964954, 0.015032125716039608, 1732837005321059687, 
0.0010747160335233819, -0.20555968005067574, 0.006229037172882405, 1732837005415984169, 
-0.025474378961533817, -0.18364200157506802, 0.00034790390553174344, 1732837005512054106, 
-0.046078183927850014, -0.157176333204578, -0.00469852312372403, 1732837005623742720, 
-0.06130393490997965, -0.11943185316148612, -0.008857099853290898, 1732837005721057013, 
-0.07275137809714338, -0.0889106472309779, -0.012008899795664869, 1732837005815989513, 
-0.07680691287472041, -0.051676593215802535, -0.01405748172545623, 1732837005912390790, 
-0.0752221099158531, -0.008235772729032384, -0.014985360059181127, 1732837006008210291, 
-0.0715836294431651, 0.01741094477185105, -0.014907510148915906, 1732837006121097606, 
-0.0692298902542483, 0.01997406553868264, -0.0144023753075511, 1732837006215994175, 
-0.08894330476447598, -0.05786558440436962, -0.015317121630792626, 1732837006312050339, 
-0.08059806372438694, -0.03789391156712877, -0.015918083916207415, 1732837006424590728, 
-0.06977000388417853, 0.06391100293432483, -0.015954091491536097, 1732837006520058376, 
-0.05955597350343189, 0.07014030073651682, -0.013994936074133157, 1732837006615997902, 
-0.052201618518380455, 0.05856128455266026, -0.012101839727066058, 1732837006713069248, 
-0.04560890133502371, 0.046490240561360606, -0.010491099557122404, 1732837006824080815, 
-0.04819990983471689, 0.01333902894554521, -0.009734028645874738, 1732837006920142305, 
-0.03856832365201268, 0.02346859227670343, -0.008825142321450218, 1732837007016004818, 
-0.031389545456489976, 0.05603454792742305, -0.007877185262881304, 1732837007113056105, 
-0.027836050186788586, 0.03577424488408032, -0.006519594619686083, 1732837007224337907, 
-0.025099026447228834, 0.02096839669753714, -0.005621641472700493, 1732837007320082918, 
-0.02200257522529947, 0.019444916538297052, -0.0049958434572877925, 1732837007416016162, 
-0.018524792103198462, 0.02191411448010124, -0.004375092918381784, 1732837007514085387, 
-0.015433657084565344, 0.021896393802447085, -0.003730734960870885, 1732837007624376223, 
-0.01974012693412619, -0.0040511161030924265, -0.0035799050747926664, 1732837007720165971, 
-0.02217555846881558, -0.022473004614167458, -0.003823289499167141, 1732837007816011652, 
-0.02452167822839868, -0.015938504314241635, -0.004429157575422697, 1732837007914139587, 
-0.02353089140507847, -0.004517776454209625, -0.004681875206819515, 1732837008008518624, 
-0.018229440545626696, 0.020974125609239946, -0.004418800678606923, 1732837008120070479, 
-0.013092370775871776, 0.03479506876402231, -0.0036568468484384628, 1732837008216016207, 
-0.008543809401646896, 0.03228543714659934, -0.002657708048209691, 1732837008313191485, 
-0.008659479700539596, 0.014776303584440598, -0.002019710658537218, 1732837008424606004, 
-0.008806355778637087, -0.0008751545899673049, -0.0017339763253882386, 1732837008520167170, 
-0.008255898389117444, 0.0013452710380738402, -0.0017147822578862753, 1732837008616633791, 
-0.007300438326805381, 0.0050197248394390215, -0.0016241794996373275, 1732837008713124372, 
-0.005086302081342087, 0.010565321025917859, -0.0013761759198176607, 1732837008824293547, 
-0.002765093411908337, 0.015117816382990146, -0.001010122254670387, 1732837008920096920, 
-0.0006940201534476609, 0.014640939759648086, -0.000569694376446539, 1732837009016026564, 
0.00029622415752550424, 0.010204391898112805, -0.00021085929385536624, 1732837009113143748, 
0.0004085618997978768, 0.003675273510818459, 7.177269250480122e-07, 1732837009208457665, 
-0.0006260616325247659, -0.0030742859668342337, 5.2482949865743455e-06, 1732837009320201208, 
-0.0022056260754428347, -0.008713959917469039, -0.00016154172054464824, 1732837009416028959, 
-0.0033239672831185674, -0.008993018835312672, -0.0004103769994057445, 1732837009514538731, 
-0.0029217224022376476, -0.0023869877559827093, -0.0005634210507199366, 1732837009624391770, 
-0.0020987892344566106, 0.00408392682887319, -0.0005562985946541884, 1732837009720091514, 
-0.001106559785668093, 0.0060505420552318485, -0.0004084714281574901, 1732837009816063826, 
0.00014344276630795516, 0.007474106669215219, -0.00020412708358778323, 1732837009912115802, 
0.001132847796564307, 0.007464691940774666, 1.1315385146944598e-05, 1732837010024373985, 
0.001684604884456431, 0.005137207060494919, 0.00019739302982191287, 1732837010120219135, 
0.002120771023451873, 0.0032930774229585533, 0.0003292149136315074, 1732837010215957507, 
