e, e_dot, e_int, stamp,
-2.782540273872819, 0.0, -0.25002303879569376, 1729801140, 384542121, 
-2.782507228623018, 0.00021558533936416458, -0.25275982966701893, 1729801140, 435635963, 
-2.7685292495140583, 0.0678324837367625, -0.3333474118738836, 1729801140, 504543684, 
-2.746198614731995, 0.25263032990009066, -0.3018539049811923, 1729801140, 544776141, 
-2.7056758359168662, 0.44958823854022967, -0.2501370803944779, 1729801140, 595830106, 
-2.6570954732136336, 0.595501938682185, -0.27026537226679886, 1729801140, 644763701, 
-2.5984815025900003, 0.7200300887186271, -0.2631101199528331, 1729801140, 694976607, 
-2.526588976405123, 0.871559281093317, -0.25910484700628583, 1729801140, 744647788, 
-2.4623520629496736, 1.014961295917858, -0.22732349407095165, 1729801140, 784858313, 
-2.3721535010437678, 1.1201907639112856, -0.22419645155671936, 1729801140, 836018623, 
-2.2445004689624586, 1.2078677730419398, -0.28261948548605326, 1729801140, 904629147, 
-2.074669843413894, 1.2412676637259756, -0.35633017638417425, 1729801140, 995776327, 
-1.8973887501849018, 1.217121219634, -0.39432000496373454, 1729801141, 94920915, 
-1.7426407349821584, 1.1684230338792545, -0.3605271111083314, 1729801141, 185039361, 
-1.5271510823742447, 1.170613038717341, -0.36202993411221995, 1729801141, 305110938, 
-1.36436212478345, 1.197895867930784, -0.3252552094001048, 1729801141, 395598967, 
-1.191002735618511, 1.1858324805916032, -0.2572971121241442, 1729801141, 494183399, 
-1.0035994929031105, 1.1495094266318133, -0.2485001554079049, 1729801141, 605070148, 
-0.829857871955465, 1.1449483447808853, -0.21217936211605565, 1729801141, 704646776, 
-0.6695818377331155, 1.1675736362685565, -0.15915193223070154, 1729801141, 795820575, 
-0.5231691720307756, 1.0781479584561402, -0.1283237611301891, 1729801141, 894980798, 
-0.3986638538875491, 0.8700924801224884, -0.11085655948735094, 1729801142, 4797936, 
-0.28958357566389514, 0.7435824092579105, -0.08449734937483167, 1729801142, 104233377, 
-0.2029448613507414, 0.6845742038039347, -0.05644006332743469, 1729801142, 194790816, 
-0.12087215988090527, 0.5925651760798544, -0.03895665827236669, 1729801142, 294761354, 
-0.05901774007046079, 0.5026309169308282, -0.024248251374057072, 1729801142, 384806879, 
0.004443305236475847, 0.40540498861949265, -0.012277969959514473, 1729801142, 504705069, 
0.04088717302757816, 0.3097391294601383, -0.0009627832244057148, 1729801142, 595831532, 
0.07170812746722932, 0.2376648431162256, 0.007395845093081259, 1729801142, 694279570, 
0.09651243091069883, 0.17936891033320265, 0.014544873922269278, 1729801142, 804502065, 
0.11297614589407745, 0.12997204831203205, 0.019690951437796436, 1729801142, 904356194, 
0.12146584837583818, 0.08594415166684717, 0.021091245081253342, 1729801142, 995687710, 
0.12571148601068804, 0.04522895176160687, 0.022892120412729606, 1729801143, 95042568, 
0.12851215980081632, 0.02462760839320491, 0.023701237955552266, 1729801143, 184949627, 
0.12698668715000538, 0.0004471418890152519, 0.017927226106542647, 1729801143, 236123944, 
0.1203050491735489, -0.023890856745677303, 0.02640406742498659, 1729801143, 395730311, 
0.11519301262259951, -0.031152484820338302, 0.03125681002880657, 1729801143, 494811876, 
0.10814765826575812, -0.043379960446038805, 0.021624380364149137, 1729801143, 584509444, 
0.09888320664324501, -0.051780034323283874, 0.022591886383623885, 1729801143, 705149048, 
0.08914042033906311, -0.0614699562776592, 0.020847789879460017, 1729801143, 795682413, 
0.07869790329633064, -0.07096700145827926, 0.01686712710437624, 1729801143, 894865196, 
0.06959748842200675, -0.0687436667190237, 0.014984939750093115, 1729801143, 985017033, 
0.05909544469205441, -0.06301531173044445, 0.01447291344813966, 1729801144, 104222278, 
0.0528131206036746, -0.05225099293808153, 0.01274864228769627, 1729801144, 195731365, 
0.04242106120486211, -0.05807305166766167, 0.00977162666341203, 1729801144, 294172067, 
0.03512982401687603, -0.06206326647017462, 0.008207577708916395, 1729801144, 384608141, 
0.027950366986502218, -0.046771111286334134, 0.007410220655217049, 1729801144, 504886741, 
0.02432226036922236, -0.033196937334507605, 0.006153344061429254, 1729801144, 595815400, 
0.019784467186884758, -0.02856868905959328, 0.004563501969355992, 1729801144, 694881994, 
0.01313474163096906, -0.03985062459017284, 0.003610730379902368, 1729801144, 785052177, 
0.008839856169079674, -0.036513996964187896, 0.0029252753553912765, 1729801144, 905035791, 
0.005338916734215715, -0.024788292747187173, 0.0019188087291198471, 1729801144, 995805948, 
0.0030959609694609647, -0.020442305664552716, 0.0010901999670570772, 1729801145, 94364317, 
0.0012833248170989187, -0.013070065877242548, 0.0006761662242213424, 1729801145, 204537827, 
0.0003023133942718914, -0.008745146679501145, 0.0003284171225796346, 1729801145, 304816201, 
-0.0008872516419318188, -0.007620324239213862, 4.451911396800194e-05, 1729801145, 395774812, 
-0.0019801333274060973, -0.008025249096195711, -0.00016273897301945014, 1729801145, 495148870, 
-0.0008215536989095718, 0.0006273622273648931, -0.00023280608009997064, 1729801145, 585102503, 
0.0010808836693092516, 0.009587751082895926, -0.00012030021261807505, 1729801145, 704876865, 
-0.00024557589520268763, 0.0004346169815866013, 9.66244445794342e-07, 1729801145, 795857010, 
0.00016086087857214437, -0.0034826333129533405, 6.287453565056593e-05, 1729801145, 894225934, 
-0.0005875350643238519, -0.0035713910700852767, -3.333906924037525e-05, 1729801145, 944636773, 
0.0003125608370750932, -0.003078219938266492, -8.01910005617121e-06, 1729801146, 105045268, 
0.0009339271207848832, 0.004151128446179964, 5.518147903111867e-05, 1729801146, 195860250, 
0.0025201581694305197, 0.007643040789605277, 0.00023782378151164038, 1729801146, 294463472, 
0.001888254166417802, 0.0030212909556350865, 0.0003358155850478572, 1729801146, 384438075, 
0.000994330516992381, -0.00481963281741881, 0.0003785416057861137, 1729801146, 504657599, 
0.0015593798366477785, -0.0004157380007175143, 0.00031319577563033855, 1729801146, 595963251, 
0.0006815477276171933, -0.0008711617530566297, 0.00020601721103183447, 1729801146, 695693868, 
0.0021841965685611697, 0.0026967134520118285, 0.00027831958362340884, 1729801146, 784649201, 
0.002134230508806567, 0.005491428586351688, 0.0003475377870805522, 1729801146, 904217591, 
0.002347944578749317, 0.0006376891295142832, 0.0004694317082070026, 1729801146, 995902818, 
0.003177334859744807, 0.003566866136749488, 0.0004870944688172504, 1729801147, 94997865, 
0.0028006059298357755, 0.0013818212637425845, 0.0005225296766341618, 1729801147, 184181777, 
0.001362062069168779, -0.005375311302071205, 0.0005139277693621404, 1729801147, 305050005, 
0.0009888778439184343, -0.005336223981749966, 0.0003635882752438233, 1729801147, 395917217, 
0.001349809812010161, -0.00014877499119282685, 0.00023372272023430233, 1729801147, 494516522, 
0.0005063705084213943, -0.0018970977642247192, 0.00017903810482381167, 1729801147, 584705735, 
0.00391057148840579, 0.0063185986317775165, 0.00040453063086424144, 1729801147, 704962876, 
0.0053405997820012985, 0.01467806791867518, 0.0006868923696668735, 1729801147, 795893876, 
0.006882663085959084, 0.010466539595134647, 0.0010181535017022, 1729801147, 894283061, 
0.007832792168214642, 0.008745706992339982, 0.0012590473545500938, 1729801147, 984223139, 
0.008889858857476174, 0.006416052051529207, 0.0016654650529725455, 1729801148, 105947059, 
0.008685496281035654, 0.002138132383418571, 0.001793493117710246, 1729801148, 195985110, 
0.011918637398786291, 0.010207332675795674, 0.0018515789266418867, 1729801148, 294281574, 
0.01080902175219256, 0.006863402415256896, 0.0019737715284080188, 1729801148, 384483034, 
0.011380561223035546, -0.0025114032995660154, 0.0023885816186820417, 1729801148, 504370074, 
0.010177450602816496, -0.0028040131518837445, 0.0022783646051375084, 1729801148, 595657586, 
0.011414427138219274, -0.00024352111941876078, 0.0020954280944261087, 1729801148, 695022767, 
0.011760956424383018, 0.005205274272841491, 0.002321167391345855, 1729801148, 804440508, 
0.012181411789229823, 0.0024490359284707035, 0.0024750143431767646, 1729801148, 905026048, 
0.009836583096605622, -0.007274883459604503, 0.0021478330652284806, 1729801148, 995195370, 
0.013563000965594707, 0.00386143230731678, 0.002245221527543833, 1729801149, 94331165, 
0.009131953640248547, -0.0008885580904135423, 0.0022686526688879653, 1729801149, 204406446, 
0.010700317101751011, -0.008276393720163666, 0.00235713389891666, 1729801149, 306079755, 
0.012458280143654132, 0.01165988289895588, 0.0020620282641443575, 1729801149, 395982143, 
0.009054808498122568, -0.0049301955686844355, 0.0020294421136234095, 1729801149, 495079527, 
0.009315995303289526, -0.010474312467412962, 0.0019369957425511535, 1729801149, 584472571, 
0.013133587088199228, 0.011529512685790744, 0.0022047636594948196, 1729801149, 705027753, 
0.012175460689321405, 0.007053949637115825, 0.0024440972136358236, 1729801149, 796235243, 
0.008995986355521346, -0.014265351536052946, 0.0021688811237071935, 1729801149, 894697973, 
0.009415294051190237, -0.009215605057985606, 0.0019243802215788473, 1729801149, 984981754, 
0.013095404980369096, 0.011725803801687936, 0.0022140002710586376, 1729801150, 105510400, 
0.011795417751190751, 0.005390095924942596, 0.002413314077849758, 1729801150, 196021152, 
0.009521737106825245, -0.01249361317248105, 0.002166404300208754, 1729801150, 294372052, 
0.012375800324806008, 0.002855909926731525, 0.002116196754076882, 1729801150, 384446009, 
0.01736840732571654, 0.024354445661619623, 0.0027582196276306698, 1729801150, 505105779, 
