e, e_dot, e_int, stamp, 
1.3148521696081599, 0.0, 0.11814504109764014, 1729801140, 384542121, 
1.314850762293982, -9.181238043384433e-06, 0.11943870520204791, 1729801140, 435635963, 
1.316506225448103, 0.007998935172796448, 0.1578504222689808, 1729801140, 504543684, 
1.3185277322900733, 0.02475667377560813, 0.14369704047459664, 1729801140, 544776141, 
1.3213606134881346, 0.035244549452495826, 0.12038836814249138, 1729801140, 595830106, 
1.3245593727607365, 0.04028578886982196, 0.1321318180414253, 1729801140, 644763701, 
1.3285267300335677, 0.04812669957511442, 0.13135082844344786, 1729801140, 694976607, 
1.3328321117420354, 0.0552294559247023, 0.13270993390521083, 1729801140, 744647788, 
1.337047638346756, 0.06383801914852388, 0.11979453190495092, 1729801140, 784858313, 
1.3431860950781749, 0.07494038089922393, 0.12222572572762881, 1729801140, 836018623, 
1.3515857188229146, 0.08080315272035447, 0.1609647927777159, 1729801140, 904629147, 
1.3605489212032313, 0.07358746509187356, 0.2159562432079528, 1729801140, 995776327, 
1.3674643109655378, 0.05602941132616579, 0.25877136570505094, 1729801141, 94920915, 
1.3713844561450768, 0.03775015736126588, 0.2586214813542883, 1729801141, 185039361, 
1.3727822025657026, 0.01838028772463144, 0.28807460269459245, 1729801141, 305110938, 
1.371072211544645, -0.0024188282611262244, 0.2888343583722891, 1729801141, 395598967, 
1.3653286354474123, -0.02571930191362126, 0.2589777839597902, 1729801141, 494183399, 
1.3548565580543914, -0.05089995726144758, 0.28566684013669164, 1729801141, 605070148, 
1.3415574269058275, -0.07599871583910735, 0.2849493561319398, 1729801141, 704646776, 
1.326414267738361, -0.0998826273015601, 0.2557854023166393, 1729801141, 795820575, 
1.309183720979204, -0.11328527737589365, 0.2523293287915606, 1729801141, 894980798, 
1.288753752539869, -0.11993365089890791, 0.2733668901745778, 1729801142, 4797936, 
1.2682125987951234, -0.13087134668282, 0.2696672911442607, 1729801142, 104233377, 
