x, y, theta, stamp, 
-0.9995397329330444, -0.9998218417167664, -2.1970666601143343, 1729802867758894065, 
-0.9995397925376892, -0.9998218417167664, -2.1970660983402537, 1729802867808381504, 
-0.9995388388633728, -0.9998217821121216, -2.1970733540905223, 1729802868008958928, 
-1.0003459453582764, -1.0008800029754639, -2.1837532318374553, 1729802868063989195, 
-1.0018044710159302, -1.003171443939209, -2.155624774607711, 1729802868114898839, 
-1.0031753778457642, -1.0054467916488647, -2.123794891231695, 1729802868153252170, 
-1.0061790943145752, -1.0105081796646118, -2.0501141266352074, 1729802868224108109, 
-1.0075403451919556, -1.0133724212646484, -2.0118736621602626, 1729802868254048627, 
-1.0097541809082031, -1.0186254978179932, -1.9370038614673302, 1729802868303294703, 
-1.012241244316101, -1.0258194208145142, -1.8305529831966307, 1729802868363980043, 
-1.013938546180725, -1.0330840349197388, -1.7327641614290983, 1729802868413913293, 
-1.0149660110473633, -1.0409387350082397, -1.6350491047259632, 1729802868463895884, 
-1.015458106994629, -1.0489826202392578, -1.5358613458890256, 1729802868514946398, 
-1.0140784978866577, -1.0625483989715576, -1.3633668302116502, 1729802868603585879, 
-1.0087406635284424, -1.0802656412124634, -1.1521276926602984, 1729802868714942631, 
-1.0008774995803833, -1.0951465368270874, -0.9718645828792809, 1729802868809948564, 
-0.9885526895523071, -1.1105070114135742, -0.7760657256241676, 1729802868913878169, 
-0.9727692008018494, -1.1236698627471924, -0.5645565334639763, 1729802869023986054, 
-0.9594273567199707, -1.1312681436538696, -0.40956715234336505, 1729802869104081461, 
-0.9375366568565369, -1.1393648386001587, -0.21208340558246902, 1729802869213876808, 
-0.9167172908782959, -1.1427916288375854, -0.02975364774162671, 1729802869313918101, 
-0.8986144661903381, -1.1426548957824707, 0.1299652738149226, 1729802869403388976, 
-0.8755465149879456, -1.1381771564483643, 0.31789254588838767, 1729802869513725603, 
-0.8550209403038025, -1.1310139894485474, 0.4517036899502843, 1729802869613882377, 
-0.8361217379570007, -1.1210650205612183, 0.5687906256779127, 1729802869714914908, 
-0.8174479603767395, -1.1079771518707275, 0.6766297104168433, 1729802869823514273, 
-0.8044219017028809, -1.0972163677215576, 0.7444641516754253, 1729802869903243726, 
-0.787300169467926, -1.080526351928711, 0.8239483567903718, 1729802870013912107, 
-0.7740863561630249, -1.0653438568115234, 0.8736869124878027, 1729802870109859945, 
-0.7615870237350464, -1.049228310585022, 0.9091525136267178, 1729802870208887961, 
-0.7476657629013062, -1.0309079885482788, 0.9383748675327427, 1729802870319069114, 
-0.7366212010383606, -1.0152180194854736, 0.9564294189142386, 1729802870408197631, 
-0.7246108651161194, -0.9979618191719055, 0.9670875045045808, 1729802870509944455, 
-0.7128491997718811, -0.9807388782501221, 0.9718105720985877, 1729802870608917931, 
-0.7005183100700378, -0.9630452990531921, 0.9700394439812203, 1729802870715069074, 
-0.6891352534294128, -0.9466672539710999, 0.9695911494763881, 1729802870809892547, 
-0.6771149635314941, -0.9295507073402405, 0.9694662620070066, 1729802870909419396, 
-0.6656442880630493, -0.9129746556282043, 0.9658345933293355, 1729802871008894248, 
-0.6530798077583313, -0.8952078819274902, 0.9621548237607063, 1729802871114996622, 
-0.6408728361129761, -0.8784488439559937, 0.9584167282235886, 1729802871213975425, 
-0.6288283467292786, -0.8618791103363037, 0.9537838852127615, 1729802871314872898, 
-0.6175158023834229, -0.8463302850723267, 0.9495407387227929, 1729802871408606996, 
-0.6062803864479065, -0.8309716582298279, 0.9480806139522492, 1729802871499052429, 
-0.5928328037261963, -0.8123889565467834, 0.9450210584537383, 1729802871609910709, 
-0.5806743502616882, -0.7960031628608704, 0.9409741858477499, 1729802871709993032, 
-0.568405032157898, -0.7791934013366699, 0.9377073406167061, 1729802871808916139, 
-0.5548587441444397, -0.7612016201019287, 0.9360876028366095, 1729802871918822817, 
-0.5431497693061829, -0.745572030544281, 0.9360876028370622, 1729802872014907155, 
-0.5307769775390625, -0.7288039326667786, 0.9381417894799329, 1729802872114914733, 
-0.5198063850402832, -0.7138257026672363, 0.9380355362955815, 1729802872203908133, 
-0.5075592994689941, -0.6971093416213989, 0.9380355362955815, 1729802872304227355, 
-0.49411541223526, -0.678949236869812, 0.9383774548936501, 1729802872413979115, 
-0.48175543546676636, -0.6622459292411804, 0.9408689840506157, 1729802872514949357, 
-0.47012263536453247, -0.6464477181434631, 0.9434541815918956, 1729802872608958552, 
-0.45684418082237244, -0.6279497742652893, 0.9449719374238277, 1729802872718459106, 
-0.44564130902290344, -0.6127561330795288, 0.9456779521173886, 1729802872809965171, 
-0.43343812227249146, -0.5961143970489502, 0.943344196463231, 1729802872909912098, 
-0.4213261306285858, -0.5796657800674438, 0.9419249530959234, 1729802873008938984, 
-0.40796661376953125, -0.5612475275993347, 0.9412564802129726, 1729802873119140089, 
-0.39676254987716675, -0.5460453033447266, 0.9413786498847491, 1729802873208927906, 
-0.3838418126106262, -0.5285910367965698, 0.9413784999316834, 1729802873314926186, 
-0.37040695548057556, -0.5110679864883423, 0.9398123826471452, 1729802873423640160, 
-0.36049091815948486, -0.4977436363697052, 0.9398123826471452, 1729802873505134999, 
-0.3471364676952362, -0.4796278476715088, 0.9398123826471452, 1729802873614008387, 
-0.3348671495914459, -0.4627813398838043, 0.9398123826471452, 1729802873714981749, 
-0.3236446678638458, -0.44766613841056824, 0.9398123826471452, 1729802873803922074, 
-0.3113114833831787, -0.43129265308380127, 0.9410379931625595, 1729802873898646597, 
-0.2971278131008148, -0.4119044542312622, 0.9406143448693707, 1729802874011992357, 
-0.2846207618713379, -0.3947488069534302, 0.9405375320736977, 1729802874109916796, 
-0.2716047763824463, -0.3772185444831848, 0.942259686739895, 1729802874208945758, 
-0.25831156969070435, -0.358808308839798, 0.9433885558098499, 1729802874314365301, 
-0.24556612968444824, -0.3413389325141907, 0.9433885558098499, 1729802874414940552, 
-0.23276759684085846, -0.3237617015838623, 0.9436222362781471, 1729802874514915667, 
-0.22128131985664368, -0.3079215884208679, 0.9445660708278867, 1729802874605017659, 
-0.20725542306900024, -0.28864648938179016, 0.9458040279673595, 1729802874714453222, 
-0.19483642280101776, -0.2712261974811554, 0.9458040279631247, 1729802874814937182, 
-0.183704674243927, -0.2560439109802246, 0.9458040279631247, 1729802874914940450, 
-0.17426154017448425, -0.24289081990718842, 0.9468752850565991, 1729802875004973882, 
-0.1628297120332718, -0.22702151536941528, 0.9458644319157424, 1729802875114445268, 
-0.15398715436458588, -0.21479088068008423, 0.9448204491647544, 1729802875210973785, 
